filename,status,error
modis/sur_refl_b05_2001-2024_m1_mean.tif,FAILED,sur_refl_b05_2001-2024_m1_mean.tif: TIFFReadDirectory:Failed to read directory at offset 252033234
modis/sur_refl_b05_2001-2024_m2_mean.tif,FAILED,sur_refl_b05_2001-2024_m2_mean.tif: TIFFReadDirectory:Failed to read directory at offset 256938278
modis/sur_refl_b05_2001-2024_m3_mean.tif,FAILED,sur_refl_b05_2001-2024_m3_mean.tif: TIFFReadDirectory:Failed to read directory at offset 254332064
modis/sur_refl_b05_2001-2024_m4_mean.tif,FAILED,sur_refl_b05_2001-2024_m4_mean.tif: TIFFReadDirectory:Failed to read directory at offset 250665508
modis/sur_refl_b05_2001-2024_m5_mean.tif,FAILED,sur_refl_b05_2001-2024_m5_mean.tif: TIFFReadDirectory:Failed to read directory at offset 248918230
modis/sur_refl_b05_2001-2024_m6_mean.tif,FAILED,sur_refl_b05_2001-2024_m6_mean.tif: TIFFReadDirectory:Failed to read directory at offset 249721422
modis/sur_refl_b05_2001-2024_m7_mean.tif,FAILED,sur_refl_b05_2001-2024_m7_mean.tif: TIFFReadDirectory:Failed to read directory at offset 250872464
modis/sur_refl_b05_2001-2024_m8_mean.tif,FAILED,sur_refl_b05_2001-2024_m8_mean.tif: TIFFReadDirectory:Failed to read directory at offset 251571730
modis/sur_refl_b05_2001-2024_m9_mean.tif,FAILED,sur_refl_b05_2001-2024_m9_mean.tif: TIFFReadDirectory:Failed to read directory at offset 251314390
modis/sur_refl_ndvi_2001-2024_m10_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m10_mean.tif: TIFFReadDirectory:Failed to read directory at offset 262236024
modis/sur_refl_ndvi_2001-2024_m11_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m11_mean.tif: TIFFReadDirectory:Failed to read directory at offset 260717630
modis/sur_refl_ndvi_2001-2024_m12_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m12_mean.tif: TIFFReadDirectory:Failed to read directory at offset 253873728
modis/sur_refl_ndvi_2001-2024_m1_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m1_mean.tif: TIFFReadDirectory:Failed to read directory at offset 256948924
modis/sur_refl_ndvi_2001-2024_m2_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m2_mean.tif: TIFFReadDirectory:Failed to read directory at offset 257239312
modis/sur_refl_ndvi_2001-2024_m3_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m3_mean.tif: TIFFReadDirectory:Failed to read directory at offset 256074020
modis/sur_refl_ndvi_2001-2024_m4_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m4_mean.tif: TIFFReadDirectory:Failed to read directory at offset 257289718
modis/sur_refl_ndvi_2001-2024_m5_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m5_mean.tif: TIFFReadDirectory:Failed to read directory at offset 261545174
modis/sur_refl_ndvi_2001-2024_m6_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m6_mean.tif: TIFFReadDirectory:Failed to read directory at offset 263813472
modis/sur_refl_ndvi_2001-2024_m7_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m7_mean.tif: TIFFReadDirectory:Failed to read directory at offset 263191546
modis/sur_refl_ndvi_2001-2024_m8_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m8_mean.tif: TIFFReadDirectory:Failed to read directory at offset 262997134
modis/sur_refl_ndvi_2001-2024_m9_mean.tif,FAILED,sur_refl_ndvi_2001-2024_m9_mean.tif: TIFFReadDirectory:Failed to read directory at offset 262027322
soilgrids/bdod_0-5cm_mean.tif,OK,
soilgrids/bdod_100-200cm_mean.tif,OK,
soilgrids/bdod_15-30cm_mean.tif,OK,
soilgrids/bdod_30-60cm_mean.tif,OK,
soilgrids/bdod_5-15cm_mean.tif,OK,
soilgrids/bdod_60-100cm_mean.tif,OK,
soilgrids/cec_0-5cm_mean.tif,OK,
soilgrids/cec_100-200cm_mean.tif,OK,
soilgrids/cec_15-30cm_mean.tif,OK,
soilgrids/cec_30-60cm_mean.tif,OK,
soilgrids/cec_5-15cm_mean.tif,OK,
soilgrids/cec_60-100cm_mean.tif,OK,
soilgrids/cfvo_0-5cm_mean.tif,OK,
soilgrids/cfvo_100-200cm_mean.tif,OK,
soilgrids/cfvo_15-30cm_mean.tif,OK,
soilgrids/cfvo_30-60cm_mean.tif,OK,
soilgrids/cfvo_5-15cm_mean.tif,OK,
soilgrids/cfvo_60-100cm_mean.tif,OK,
soilgrids/clay_0-5cm_mean.tif,OK,
soilgrids/clay_100-200cm_mean.tif,OK,
soilgrids/clay_15-30cm_mean.tif,OK,
soilgrids/clay_30-60cm_mean.tif,OK,
soilgrids/clay_5-15cm_mean.tif,OK,
soilgrids/clay_60-100cm_mean.tif,OK,
soilgrids/nitrogen_0-5cm_mean.tif,FAILED,nitrogen_0-5cm_mean.tif: TIFFReadDirectory:Failed to read directory at offset 260743800
soilgrids/nitrogen_100-200cm_mean.tif,OK,
soilgrids/nitrogen_15-30cm_mean.tif,FAILED,nitrogen_15-30cm_mean.tif: TIFFReadDirectory:Failed to read directory at offset 243345390
soilgrids/nitrogen_30-60cm_mean.tif,FAILED,nitrogen_30-60cm_mean.tif: TIFFReadDirectory:Failed to read directory at offset 239175756
soilgrids/nitrogen_5-15cm_mean.tif,FAILED,nitrogen_5-15cm_mean.tif: TIFFReadDirectory:Failed to read directory at offset 250114750
soilgrids/nitrogen_60-100cm_mean.tif,OK,
soilgrids/ocd_0-5cm_mean.tif,OK,
soilgrids/ocd_100-200cm_mean.tif,OK,
soilgrids/ocd_15-30cm_mean.tif,OK,
soilgrids/ocd_30-60cm_mean.tif,OK,
soilgrids/ocd_5-15cm_mean.tif,OK,
soilgrids/ocd_60-100cm_mean.tif,OK,
soilgrids/ocs_0-30cm_mean.tif,OK,
soilgrids/phh2o_0-5cm_mean.tif,OK,
soilgrids/phh2o_100-200cm_mean.tif,OK,
soilgrids/phh2o_15-30cm_mean.tif,OK,
soilgrids/phh2o_30-60cm_mean.tif,OK,
soilgrids/phh2o_5-15cm_mean.tif,OK,
soilgrids/phh2o_60-100cm_mean.tif,OK,
soilgrids/sand_0-5cm_mean.tif,OK,
soilgrids/sand_100-200cm_mean.tif,OK,
soilgrids/sand_15-30cm_mean.tif,OK,
soilgrids/sand_30-60cm_mean.tif,OK,
soilgrids/sand_5-15cm_mean.tif,OK,
soilgrids/sand_60-100cm_mean.tif,OK,
soilgrids/silt_0-5cm_mean.tif,OK,
soilgrids/silt_100-200cm_mean.tif,OK,
soilgrids/silt_15-30cm_mean.tif,OK,
soilgrids/silt_30-60cm_mean.tif,OK,
soilgrids/silt_5-15cm_mean.tif,OK,
soilgrids/silt_60-100cm_mean.tif,OK,
soilgrids/soc_0-5cm_mean.tif,OK,
soilgrids/soc_100-200cm_mean.tif,OK,
soilgrids/soc_15-30cm_mean.tif,OK,
